id,name,email,twitter,group,area,chamber,start_date,end_date
TK6,Dr Andrew Southcott MP,Andrew.Southcott.MP@aph.gov.au,http://twitter.com/asouthcottmp,Liberal Party of Australia,"Boothby, South Australia",House of Representatives,2013-09-07,""
72184,Dr David Gillespie MP,,https://twitter.com/DaveGillespieMP,The Nationals,"Lyne, New South Wales",House of Representatives,2013-09-07,""
DYN,Dr Dennis Jensen MP,Dennis.Jensen.MP@aph.gov.au,http://twitter.com/DennisJensenMP,Liberal Party of Australia,"Tangney, Western Australia",House of Representatives,2013-09-07,""
37998,Dr Jim Chalmers MP,,https://twitter.com/JEChalmers,Australian Labor Party,"Rankin, Queensland",House of Representatives,2013-09-07,""
00BCM,Dr Peter Hendy MP,,,Liberal Party of Australia,"Eden-Monaro, New South Wales",House of Representatives,2013-09-07,""
VU5,Hon Alan Griffin MP,Alan.Griffin.MP@aph.gov.au,,Australian Labor Party,"Bruce, Victoria",House of Representatives,2013-09-07,""
M2Y,Hon Alan Tudge MP,,http://twitter.com/AlanTudgeMP,Liberal Party of Australia,"Aston, Victoria",House of Representatives,2013-09-07,""
L6P,Hon Alannah MacTiernan MP,,https://twitter.com/AlannahMac,Australian Labor Party,"Perth, Western Australia",House of Representatives,2013-09-07,""
HWA,Hon Amanda Rishworth MP,,http://twitter.com/AmandaRishworth,Australian Labor Party,"Kingston, South Australia",House of Representatives,2013-09-07,""
FU4,"Hon Andrew Robb AO, MP",Andrew.Robb.MP@aph.gov.au,http://twitter.com/AndrewRobbMP,Liberal Party of Australia,"Goldstein, Victoria",House of Representatives,2013-09-07,""
R36,Hon Anthony Albanese MP,A.Albanese.MP@aph.gov.au,http://twitter.com/AlboMP,Australian Labor Party,"Grayndler, New South Wales",House of Representatives,2013-09-07,""
008K0,Hon Anthony Byrne MP,Anthony.Byrne.MP@aph.gov.au,http://twitter.com/AnthonyByrne_MP,Australian Labor Party,"Holt, Victoria",House of Representatives,2013-09-07,""
E5D,Hon Barnaby Joyce MP,,https://twitter.com/Barnaby_Joyce,The Nationals,"New England, New South Wales",House of Representatives,2013-09-07,""
83E,Hon Bernie Ripoll MP,Bernie.Ripoll.MP@aph.gov.au,http://twitter.com/bernieripoll_mp,Australian Labor Party,"Oxley, Queensland",House of Representatives,2013-09-07,""
00ATG,Hon Bill Shorten MP,,http://twitter.com/billshortenmp,Australian Labor Party,"Maribyrnong, Victoria",House of Representatives,2013-09-07,""
LL6,Hon Bob Baldwin MP,Bob.Baldwin.MP@aph.gov.au,http://twitter.com/bobbaldwinmp,Liberal Party of Australia,"Paterson, New South Wales",House of Representatives,2013-09-07,""
HX4,Hon Bob Katter MP,Bob.Katter.MP@aph.gov.au,http://twitter.com/RealBobKatter,Katter's Australian Party,"Kennedy, Queensland",House of Representatives,2013-09-07,""
00AN3,Hon Brendan O'Connor MP,Brendan.O'Connor.MP@aph.gov.au,,Australian Labor Party,"Gorton, Victoria",House of Representatives,2013-09-07,""
SE4,Hon Bronwyn Bishop MP,Bronwyn.Bishop.MP@aph.gov.au,,Liberal Party of Australia,"Mackellar, New South Wales",House of Representatives,2013-09-07,""
1K6,Hon Bruce Billson MP,B.Billson.MP@aph.gov.au,http://twitter.com/BruceBillsonMP,Liberal Party of Australia,"Dunkley, Victoria",House of Representatives,2013-09-07,""
YT4,Hon Bruce Scott MP,Bruce.Scott.MP@aph.gov.au,,The Nationals,"Maranoa, Queensland",House of Representatives,2013-09-07,""
00AMR,Hon Catherine King MP,Catherine.King.MP@aph.gov.au,http://twitter.com/CatherineKingMP,Australian Labor Party,"Ballarat, Victoria",House of Representatives,2013-09-07,""
DZS,Hon Chris Bowen MP,Chris.Bowen.MP@aph.gov.au,http://twitter.com/Bowenchris,Australian Labor Party,"McMahon, New South Wales",House of Representatives,2013-09-07,""
208884,Hon Christian Porter MP,,https://twitter.com/cporterwa,Liberal Party of Australia,"Pearce, Western Australia",House of Representatives,2013-09-07,""
9V5,Hon Christopher Pyne MP,C.Pyne.MP@aph.gov.au,https://twitter.com/CPyne,Liberal Party of Australia,"Sturt, South Australia",House of Representatives,2013-09-07,""
IPZ,Hon Darren Chester MP,,https://twitter.com/DarrenChesterMP,The Nationals,"Gippsland, Victoria",House of Representatives,2013-09-07,""
I0O,Hon David Feeney MP,,https://twitter.com/Feeney4Batman,Australian Labor Party,"Batman, Victoria",House of Representatives,2013-09-07,""
BU8,Hon Dr Andrew Leigh MP,andrew.leigh.mp@aph.gov.au,https://twitter.com/ALEIGHMP,Australian Labor Party,"Fraser, Australian Capital Territory",House of Representatives,2013-09-07,""
91219,Hon Ed Husic MP,,http://twitter.com/edhusicmp,Australian Labor Party,"Chifley, New South Wales",House of Representatives,2013-09-07,""
8W5,"Hon Gary Gray AO, MP",Gary.Gray.MP@aph.gov.au,,Australian Labor Party,"Brand, Western Australia",House of Representatives,2013-09-07,""
00AMV,Hon Greg Hunt MP,Greg.Hunt.MP@aph.gov.au,http://www.twitter.com/greghuntmp,Liberal Party of Australia,"Flinders, Victoria",House of Representatives,2013-09-07,""
WN6,Hon Ian Macfarlane MP,Ian.Macfarlane.MP@aph.gov.au,,Liberal Party of Australia,"Groom, Queensland",House of Representatives,2013-09-07,""
IYU,Hon Jamie Briggs MP,,http://twitter.com/BriggsJamie,Liberal Party of Australia,"Mayo, South Australia",House of Representatives,2013-09-07,""
HWL,Hon Jason Clare MP,,http://twitter.com/JasonClareMP,Australian Labor Party,"Blaxland, New South Wales",House of Representatives,2013-09-07,""
PG6,Hon Jenny Macklin MP,,,Australian Labor Party,"Jagajaga, Victoria",House of Representatives,2013-09-07,""
DK6,Hon Joe Hockey MP,J.Hockey.MP@aph.gov.au,http://twitter.com/JoeHockey,Liberal Party of Australia,"North Sydney, New South Wales",House of Representatives,2013-09-07,""
8K6,Hon Joel Fitzgibbon MP,Joel.fitzgibbon.MP@aph.gov.au,http://twitter.com/fitzhunter,Australian Labor Party,"Hunter, New South Wales",House of Representatives,2013-09-07,""
00AN1,Hon John Cobb MP,John.Cobb.MP@aph.gov.au,,The Nationals,"Calare, New South Wales",House of Representatives,2013-09-07,""
FKL,Hon Josh Frydenberg MP,josh.frydenberg.mp@aph.gov.au,http://twitter.com/JoshFrydenberg,Liberal Party of Australia,"Kooyong, Victoria",House of Representatives,2013-09-07,""
83P,Hon Julie Bishop MP,Julie.Bishop.MP@aph.gov.au,http://twitter.com/JulieBishopMP,Liberal Party of Australia,"Curtin, Western Australia",House of Representatives,2013-09-07,""
HWM,Hon Julie Collins MP,,https://twitter.com/JulieCollinsMP,Australian Labor Party,"Franklin, Tasmania",House of Representatives,2013-09-07,""
DZW,Hon Justine Elliot MP,Justine.Elliot.MP@aph.gov.au,,Australian Labor Party,"Richmond, New South Wales",House of Representatives,2013-09-07,""
230886,Hon Karen Andrews MP,karen.andrews.mp@aph.gov.au,http://twitter.com/karenandrewsmp,Liberal Party of Australia,"McPherson, Queensland",House of Representatives,2013-09-07,""
DZU,Hon Kate Ellis MP,Kate.Ellis.MP@aph.gov.au,http://twitter.com/KateEllisMP,Australian Labor Party,"Adelaide, South Australia",House of Representatives,2013-09-07,""
LKU,Hon Kelly O'Dwyer MP,,http://twitter.com/kellyodwyer,Liberal Party of Australia,"Higgins, Victoria",House of Representatives,2013-09-07,""
UK6,Hon Kelvin Thomson MP,Kelvin.Thomson.MP@aph.gov.au,http://twitter.com/KelvinThomsonMP,Australian Labor Party,"Wills, Victoria",House of Representatives,2013-09-07,""
HK5,Hon Kevin Andrews MP,menzies@aph.gov.au,http://twitter.com/kevinandrewsmp,Liberal Party of Australia,"Menzies, Victoria",House of Representatives,2013-09-07,""
00AMM,Hon Luke Hartsuyker MP,Luke.Hartsuyker.MP@aph.gov.au,,The Nationals,"Cowper, New South Wales",House of Representatives,2013-09-07,""
2K6,Hon Mal Brough MP,,,Liberal Party of Australia,"Fisher, Queensland",House of Representatives,2013-09-07,""
885,Hon Malcolm Turnbull MP,Malcolm.Turnbull.MP@aph.gov.au,http://twitter.com/TurnbullMalcolm,Liberal Party of Australia,"Wentworth, New South Wales",House of Representatives,2013-09-07,""
HWK,Hon Mark Butler MP,,http://twitter.com/Mark_Butler_MP,Australian Labor Party,"Port Adelaide, South Australia",House of Representatives,2013-09-07,""
HWG,"Hon Mark Dreyfus QC, MP",,,Australian Labor Party,"Isaacs, Victoria",House of Representatives,2013-09-07,""
182468,Hon Matt Thistlethwaite MP,,https://twitter.com/MThistlethwaite,Australian Labor Party,"Kingsford Smith, New South Wales",House of Representatives,2013-09-07,""
HWR,Hon Melissa Parke MP,,,Australian Labor Party,"Fremantle, Western Australia",House of Representatives,2013-09-07,""
WF6,Hon Michael Danby MP,Michael.Danby.MP@aph.gov.au,,Australian Labor Party,"Melbourne Ports, Victoria",House of Representatives,2013-09-07,""
E0J,Hon Michael Keenan MP,,,Liberal Party of Australia,"Stirling, Western Australia",House of Representatives,2013-09-07,""
219646,Hon Michael McCormack MP,,http://twitter.com/M_McCormackMP,The Nationals,"Riverina, New South Wales",House of Representatives,2013-09-07,""
L6B,Hon Paul Fletcher MP,Paul.Fletcher.MP@aph.gov.au,https://twitter.com/PaulFletcherMP,Liberal Party of Australia,"Bradfield, New South Wales",House of Representatives,2013-09-07,""
00AKI,Hon Peter Dutton MP,Peter.Dutton.MP@aph.gov.au,http://twitter.com/PeterDutton_MP,Liberal Party of Australia,"Dickson, Queensland",House of Representatives,2013-09-07,""
